race_id,馬名,着順_num,予測スコア,予測順位,単勝オッズ,人気,勝ち確率,単勝期待値
202504040410,ディーガレジェンド,4.0,0.012968046766395576,10.0,9.0,5.0,0.012968046766395576,-0.8832875791024398
202504040410,マイネルシーマー,10.0,0.008341684552545832,11.0,48.1,12.0,0.008341684552545832,-0.5987649730225455
202504040410,ルーチェロッサ,13.0,0.006014722452461127,12.0,173.7,16.0,0.006014722452461127,0.04475728999249773
202504040410,バルダンツァ,12.0,0.0038369553167741308,13.0,42.2,10.0,0.0038369553167741308,-0.8380804856321317
202504040410,アナレンマ,11.0,0.0034219766812778087,14.0,75.0,14.0,0.0034219766812778087,-0.7433517489041643
202504040410,シルバープリペット,5.0,0.002833348149513749,15.0,127.0,15.0,0.002833348149513749,-0.6401647850117539
202504040410,コスモアバンサ,6.0,3.412477605725342e-06,16.0,23.1,7.0,3.412477605725342e-06,-0.9999211717673078
202504040411,イコサン,1.0,0.3970074222140709,1.0,3.4,1.0,0.3970074222140709,0.34982523552784106
202504040411,エコロレジーナ,3.0,0.16975185463302647,2.0,6.6,3.0,0.16975185463302647,0.12036224057797473
202504040411,リバーラ,5.0,0.11083411448085362,3.0,11.8,5.0,0.11083411448085362,0.30784255087407275
202504040411,シロン,10.0,0.07062836672789628,4.0,19.8,7.0,0.07062836672789628,0.3984416612123465
202504040411,ブーケファロス,16.0,0.06804802417760823,5.0,28.6,11.0,0.06804802417760823,0.9461734914795956
202504040411,スコーピオン,6.0,0.06690505451637226,6.0,37.9,12.0,0.06690505451637226,1.5357015661705082
202504040411,フィオライア,4.0,0.06646181660457907,7.0,24.5,10.0,0.06646181660457907,0.6283145068121874
202504040411,スリーアイランド,11.0,0.05996222875963706,8.0,67.5,15.0,0.05996222875963706,3.047450441275502
202504040411,タツダイヤモンド,13.0,0.04701116862797784,9.0,200.2,16.0,0.04701116862797784,8.411635959321163
202504040411,ファロロジー,17.0,0.04683535311844938,10.0,240.6,17.0,0.04683535311844938,10.26858596029892
202504040411,バグラダス,9.0,0.04476590612428063,11.0,24.1,9.0,0.04476590612428063,0.07885833759516325
202504040411,ニシノコニャック,7.0,0.040314446375603205,12.0,22.6,8.0,0.040314446375603205,-0.08889351191136752
202504040411,クムシラコ,8.0,0.037660917349531794,13.0,64.4,14.0,0.037660917349531794,1.4253630773098478
202504040411,プルパレイ,15.0,0.023771376331351297,14.0,19.4,6.0,0.023771376331351297,-0.5388352991717849
202504040411,サウンドアレグリア,14.0,0.014306856125781049,15.0,11.6,4.0,0.014306856125781049,-0.8340404689409399
202504040411,カルロヴェローチェ,2.0,0.003747307644444224,16.0,3.4,2.0,0.003747307644444224,-0.9872591540088896
202504040411,モデルハント,12.0,1.2130245116241637e-06,17.0,61.9,13.0,1.2130245116241637e-06,-0.9999249137827305
202504040412,ダノンモンテローザ,2.0,0.41042426767343143,1.0,3.6,1.0,0.41042426767343143,0.4775273636243531
202504040412,ベンダバール,6.0,0.1271348760099842,2.0,13.9,6.0,0.1271348760099842,0.7671747765387802
202504040412,オトメナシャチョウ,1.0,0.09493989823709155,3.0,6.2,4.0,0.09493989823709155,-0.4113726309300324
202504040412,メイプルギャング,3.0,0.0891365991088831,4.0,20.6,8.0,0.0891365991088831,0.8362139416429919
202504040412,ペッパーミル,8.0,0.039887804120221595,5.0,4.6,3.0,0.039887804120221595,-0.8165161010469807
202504040412,ヒメカミノイタダキ,7.0,0.013326231795405725,6.0,56.4,11.0,0.013326231795405725,-0.24840052673911717
202504040412,シルフズミスチーフ,3.0,0.012498817725575238,7.0,8.9,5.0,0.012498817725575238,-0.8887605222423803
202504040412,テイエムタワードン,10.0,0.011339730389832737,8.0,15.6,7.0,0.011339730389832737,-0.8231002059186093
202504040412,リーサムギニー,9.0,0.0066134477611483515,9.0,74.4,12.0,0.0066134477611483515,-0.5079594865705626
202504040412,テンペストヒロイン,12.0,0.005947377581226862,10.0,41.1,10.0,0.005947377581226862,-0.755562781411576
202504040412,ポンピエ,5.0,0.004740577788049956,11.0,4.4,2.0,0.004740577788049956,-0.9791414577325802
