券種,レース条件,馬の条件,オッズ,人気,点数,的中,回収率,最悪年,最良年,100%超の年数
複勝,芝,MF複勝1位,〜10倍,人気不問,7350,4408,83.3,82.2,85.4,0
単勝,芝,MF複勝1位,〜10倍,4番人気以下,506,49,68.0,43.1,102.7,1
複勝,芝,MF複勝1位,〜10倍,4番人気以下,506,179,77.0,66.5,96.9,0
単勝,芝,MF複勝1位,〜10倍,3番人気以内,6844,2042,79.0,74.3,85.8,0
複勝,芝,MF複勝1位,〜10倍,3番人気以内,6844,4229,83.7,81.3,86.7,0
単勝,芝,MF複勝1位,〜20倍,人気不問,7579,2112,79.4,74.4,85.7,0
複勝,芝,MF複勝1位,〜20倍,人気不問,7579,4473,83.6,82.2,85.5,0
単勝,芝,MF複勝1位,〜20倍,4番人気以下,732,70,83.8,52.6,116.0,1
複勝,芝,MF複勝1位,〜20倍,4番人気以下,732,244,82.5,68.4,97.7,0
単勝,芝,MF複勝1位,〜20倍,6番人気以下,170,14,106.4,28.6,169.1,2
複勝,芝,MF複勝1位,〜20倍,6番人気以下,170,47,93.5,57.2,117.2,2
単勝,芝,MF複勝1位,〜20倍,3番人気以内,6847,2042,79.0,74.3,85.8,0
複勝,芝,MF複勝1位,〜20倍,3番人気以内,6847,4229,83.7,81.3,86.7,0
単勝,芝,MF複勝2位以内,〜5倍,人気不問,10012,2985,81.7,79.0,84.6,0
複勝,芝,MF複勝2位以内,〜5倍,人気不問,10012,6306,85.2,84.3,86.0,0
単勝,芝,MF複勝2位以内,〜5倍,3番人気以内,9988,2979,81.6,78.6,84.6,0
複勝,芝,MF複勝2位以内,〜5倍,3番人気以内,9988,6291,85.1,84.2,86.0,0
単勝,芝,MF複勝2位以内,5-10倍,人気不問,3976,514,81.4,79.2,84.9,0
複勝,芝,MF複勝2位以内,5-10倍,人気不問,3976,1550,78.3,74.9,80.8,0
単勝,芝,MF複勝2位以内,5-10倍,4番人気以下,1508,150,72.7,59.6,81.4,0
複勝,芝,MF複勝2位以内,5-10倍,4番人気以下,1508,541,78.2,75.0,84.6,0
単勝,芝,MF複勝2位以内,5-10倍,3番人気以内,2468,364,86.7,80.1,94.0,0
複勝,芝,MF複勝2位以内,5-10倍,3番人気以内,2468,1009,78.5,74.5,82.6,0
単勝,芝,MF複勝2位以内,10-20倍,人気不問,976,69,93.9,50.5,125.3,3
複勝,芝,MF複勝2位以内,10-20倍,人気不問,976,254,82.3,75.5,87.9,0
単勝,芝,MF複勝2位以内,10-20倍,4番人気以下,929,64,92.5,52.5,125.6,2
複勝,芝,MF複勝2位以内,10-20倍,4番人気以下,929,233,79.9,74.3,86.1,0
単勝,芝,MF複勝2位以内,10-20倍,6番人気以下,478,33,99.1,63.5,139.2,3
複勝,芝,MF複勝2位以内,10-20倍,6番人気以下,478,109,82.4,55.6,101.0,1
単勝,芝,MF複勝2位以内,20-50倍,人気不問,272,5,41.4,0.0,87.8,0
複勝,芝,MF複勝2位以内,20-50倍,人気不問,272,34,60.7,46.6,78.7,0
単勝,芝,MF複勝2位以内,20-50倍,4番人気以下,271,5,41.5,0.0,87.8,0
複勝,芝,MF複勝2位以内,20-50倍,4番人気以下,271,33,60.5,45.1,78.7,0
単勝,芝,MF複勝2位以内,20-50倍,6番人気以下,247,5,45.6,0.0,97.4,0
複勝,芝,MF複勝2位以内,20-50倍,6番人気以下,247,30,60.6,49.4,79.6,0
単勝,芝,MF複勝2位以内,〜10倍,人気不問,13988,3499,81.6,79.3,84.4,0
複勝,芝,MF複勝2位以内,〜10倍,人気不問,13988,7856,83.2,82.0,84.3,0
単勝,芝,MF複勝2位以内,〜10倍,4番人気以下,1532,156,73.4,62.1,81.7,0
複勝,芝,MF複勝2位以内,〜10倍,4番人気以下,1532,556,78.5,75.2,84.3,0
単勝,芝,MF複勝2位以内,〜10倍,3番人気以内,12456,3343,82.6,80.1,85.9,0
複勝,芝,MF複勝2位以内,〜10倍,3番人気以内,12456,7300,83.8,82.8,85.4,0
単勝,芝,MF複勝2位以内,〜20倍,人気不問,14964,3568,82.4,79.2,85.8,0
複勝,芝,MF複勝2位以内,〜20倍,人気不問,14964,8110,83.2,82.1,84.3,0
単勝,芝,MF複勝2位以内,〜20倍,4番人気以下,2461,220,80.6,67.2,96.5,0
複勝,芝,MF複勝2位以内,〜20倍,4番人気以下,2461,789,79.0,77.2,80.8,0
単勝,芝,MF複勝2位以内,〜20倍,6番人気以下,564,40,94.4,72.0,132.0,1
複勝,芝,MF複勝2位以内,〜20倍,6番人気以下,564,140,84.6,68.7,106.1,1
単勝,芝,MF複勝2位以内,〜20倍,3番人気以内,12503,3348,82.8,81.1,85.7,0
複勝,芝,MF複勝2位以内,〜20倍,3番人気以内,12503,7321,84.0,83.2,85.4,0
単勝,芝,MF複勝3位以内,〜5倍,人気不問,12243,3455,80.3,77.5,82.6,0
複勝,芝,MF複勝3位以内,〜5倍,人気不問,12243,7523,84.3,83.7,85.3,0
単勝,芝,MF複勝3位以内,〜5倍,3番人気以内,12198,3442,80.1,77.3,82.2,0
複勝,芝,MF複勝3位以内,〜5倍,3番人気以内,12198,7496,84.2,83.6,85.3,0
単勝,芝,MF複勝3位以内,5-10倍,人気不問,7182,885,80.0,75.6,84.9,0
複勝,芝,MF複勝3位以内,5-10倍,人気不問,7182,2766,78.1,76.7,79.3,0
単勝,芝,MF複勝3位以内,5-10倍,4番人気以下,2941,302,76.7,68.4,84.2,0
複勝,芝,MF複勝3位以内,5-10倍,4番人気以下,2941,1055,78.0,75.3,81.3,0
単勝,芝,MF複勝3位以内,5-10倍,3番人気以内,4241,583,82.3,72.9,86.9,0
複勝,芝,MF複勝3位以内,5-10倍,3番人気以内,4241,1711,78.2,75.2,79.6,0
単勝,芝,MF複勝3位以内,10-20倍,人気不問,2540,172,90.7,73.7,106.3,2
複勝,芝,MF複勝3位以内,10-20倍,人気不問,2540,637,76.7,73.3,78.9,0
単勝,芝,MF複勝3位以内,10-20倍,4番人気以下,2403,164,92.2,73.4,104.6,2
複勝,芝,MF複勝3位以内,10-20倍,4番人気以下,2403,585,74.9,71.5,77.4,0
単勝,芝,MF複勝3位以内,10-20倍,6番人気以下,1147,79,101.1,60.5,120.8,3
複勝,芝,MF複勝3位以内,10-20倍,6番人気以下,1147,248,76.3,67.0,88.4,0
単勝,芝,MF複勝3位以内,20-50倍,人気不問,823,15,45.6,16.3,66.2,0
複勝,芝,MF複勝3位以内,20-50倍,人気不問,823,107,59.1,52.9,70.8,0
単勝,芝,MF複勝3位以内,20-50倍,4番人気以下,821,15,45.7,16.3,66.7,0
複勝,芝,MF複勝3位以内,20-50倍,4番人気以下,821,106,59.1,52.9,71.3,0
単勝,芝,MF複勝3位以内,20-50倍,6番人気以下,737,13,44.2,0.0,74.0,0
複勝,芝,MF複勝3位以内,20-50倍,6番人気以下,737,89,58.6,50.6,69.3,0
単勝,芝,MF複勝3位以内,〜10倍,人気不問,19425,4340,80.2,79.2,81.0,0
