種牡馬名,父_産駒数,父_勝率,父_連対率,父_複勝率,父_芝勝率,父_ダート勝率,父_短距離勝率,父_中距離勝率,父_長距離勝率,父_良馬場勝率,父_重馬場勝率,父_平均着順,種別,母父_産駒数,母父_勝率,母父_連対率,母父_複勝率,母父_芝勝率,母父_ダート勝率,母父_短距離勝率,母父_中距離勝率,母父_長距離勝率,母父_良馬場勝率,母父_重馬場勝率,母父_平均着順
ヤマカツオーキッド,,,,,,,,,,,,,母父,67.0,0.014925373134328358,0.11940298507462686,0.14925373134328357,0.027777777777777776,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,8.17910447761194
ヤマカツカトリーヌ,,,,,,,,,,,,,母父,14.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,0.08333333333333333,,0.08333333333333333,0.0,0.07692307692307693,,6.928571428571429
ヤマカツサファイヤ,,,,,,,,,,,,,母父,21.0,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.125,0.0,0.0,0.05555555555555555,0.0,0.09090909090909091,0.0,8.0
ヤマカツサユリ,,,,,,,,,,,,,母父,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,12.88888888888889
ヤマカツジャスミン,,,,,,,,,,,,,母父,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,11.6875
ヤマカツセイレーン,,,,,,,,,,,,,母父,61.0,0.03278688524590164,0.18032786885245902,0.19672131147540983,0.0,0.045454545454545456,0.0,0.05128205128205128,0.0,0.02702702702702703,0.0,8.78688524590164
ヤマカツナタリー,,,,,,,,,,,,,母父,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,9.9375
ヤマカツマヤリス,,,,,,,,,,,,,母父,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25925925925926
ヤマカツマリリン,,,,,,,,,,,,,母父,61.0,0.06557377049180328,0.18032786885245902,0.18032786885245902,0.07017543859649122,0.0,0.04,0.08571428571428572,0.0,0.046511627906976744,0.1111111111111111,8.59016393442623
ヤマカツリリー,,,,,,,,,,,,,母父,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,10.8
ヤマガール,,,,,,,,,,,,,母父,52.0,0.09615384615384616,0.28846153846153844,0.34615384615384615,0.125,0.05,0.13793103448275862,0.0,0.1111111111111111,0.11428571428571428,0.125,6.711538461538462
ヤマサラグランジュ,,,,,,,,,,,,,母父,62.0,0.04838709677419355,0.06451612903225806,0.0967741935483871,0.0,0.08823529411764706,0.05454545454545454,0.0,,0.045454545454545456,0.0,9.048387096774194
ヤマシロギク,,,,,,,,,,,,,母父,26.0,0.038461538461538464,0.07692307692307693,0.19230769230769232,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,7.538461538461538
ヤマトサクラコ,,,,,,,,,,,,,母父,37.0,0.02702702702702703,0.05405405405405406,0.08108108108108109,0.02702702702702703,,0.0,0.043478260869565216,,0.034482758620689655,0.0,8.594594594594595
ヤマトマリオン,,,,,,,,,,,,,母父,85.0,0.12941176470588237,0.2,0.25882352941176473,0.10526315789473684,0.13636363636363635,0.0,0.125,0.18181818181818182,0.12,0.21052631578947367,6.376470588235295
ヤマニンアストレア,,,,,,,,,,,,,母父,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.142857142857142
ヤマニンアタシャン,,,,,,,,,,,,,母父,17.0,0.17647058823529413,0.23529411764705882,0.35294117647058826,0.2,0.14285714285714285,0.25,0.0,,0.25,0.0,6.882352941176471
ヤマニンアドーレ,,,,,,,,,,,,,母父,44.0,0.13636363636363635,0.18181818181818182,0.2727272727272727,0.14285714285714285,0.0,0.0,0.1875,0.0,0.125,0.16666666666666666,7.590909090909091
ヤマニンアリエル,,,,,,,,,,,,,母父,32.0,0.0625,0.0625,0.1875,0.0,0.06896551724137931,0.0,0.09523809523809523,0.0,0.0625,0.0,8.96875
ヤマニンエマイユ,,,,,,,,,,,,,母父,75.0,0.09333333333333334,0.18666666666666668,0.24,0.10606060606060606,0.0,0.0425531914893617,0.18518518518518517,0.0,0.10909090909090909,0.14285714285714285,6.693333333333333
ヤマニンエリプス,,,,,,,,,,,,,母父,8.0,0.25,0.25,0.375,,0.25,0.3333333333333333,0.0,,0.4,0.0,6.25
ヤマニンカルフール,,,,,,,,,,,,,母父,76.0,0.07894736842105263,0.14473684210526316,0.25,0.10909090909090909,0.0,0.0,0.08571428571428572,0.17647058823529413,0.09433962264150944,0.06666666666666667,7.302631578947368
ヤマニンギモーヴ,,,,,,,,,,,,,母父,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.38888888888889
ヤマニングルノイユ,,,,,,,,,,,,,母父,29.0,0.034482758620689655,0.10344827586206896,0.27586206896551724,0.037037037037037035,0.0,0.07692307692307693,0.0,,0.047619047619047616,0.0,7.275862068965517
ヤマニングロワール,,,,,,,,,,,,,母父,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.076923076923077
ヤマニンシェリル,,,,,,,,,,,,,母父,10.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7
ヤマニンシュクル,,,,,,,,,,,,,母父,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.24
ヤマニンスフィアー,,,,,,,,,,,,,母父,36.0,0.05555555555555555,0.05555555555555555,0.19444444444444445,0.0625,0.0,0.07692307692307693,0.0,,0.037037037037037035,0.3333333333333333,7.861111111111111
ヤマニンスプラウト,,,,,,,,,,,,,母父,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.333333333333334
ヤマニンティアモ,,,,,,,,,,,,,母父,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,13.285714285714286
ヤマニンナジャーハ,,,,,,,,,,,,,母父,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,12.666666666666666
ヤマニンヌヌース,,,,,,,,,,,,,母父,10.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4
ヤマニンバステト,,,,,,,,,,,,,母父,16.0,0.125,0.1875,0.25,0.13333333333333333,0.0,,0.15384615384615385,0.0,0.18181818181818182,,7.8125
ヤマニンパソドブル,,,,,,,,,,,,,母父,31.0,0.03225806451612903,0.16129032258064516,0.25806451612903225,,0.03225806451612903,0.0,0.03571428571428571,0.0,0.047619047619047616,0.0,6.967741935483871
ヤマニンパピオネ,,,,,,,,,,,,,母父,62.0,0.1774193548387097,0.24193548387096775,0.3870967741935484,0.11363636363636363,0.3333333333333333,0.12903225806451613,0.2413793103448276,0.0,0.1951219512195122,0.07142857142857142,5.983870967741935
ヤマニンファビュル,,,,,,,,,,,,,母父,17.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,,0.0,0.0,9.470588235294118
ヤマニンプチガトー,,,,,,,,,,,,,母父,21.0,0.0,0.19047619047619047,0.23809523809523808,0.0,0.0,0.0,0.0,,0.0,0.0,6.904761904761905
ヤマニンプチフール,,,,,,,,,,,,,母父,47.0,0.06382978723404255,0.10638297872340426,0.19148936170212766,0.07692307692307693,0.0,0.05555555555555555,0.09090909090909091,,0.07692307692307693,0.0,7.148936170212766
