券種,レース条件,馬,オッズ,人気,点数,的中,ROI,CI下,最悪年,年100超
複勝,全体,MF複勝3位以内,1-20,人気不問,41416,20790,82.0,81.2,81.2,0
複勝,道悪,MF複勝3位以内,1-5,人気不問,2808,1676,83.5,81.1,81.5,0
複勝,多頭数16+,MF複勝5位以内,1-20,人気1-3,16020,8157,82.4,81.1,81.6,0
複勝,芝,MF複勝2位以内,1-20,人気不問,13973,7641,82.5,81.1,80.7,0
複勝,多頭数16+,MF複勝2位以内,1-20,人気1-6,11108,5739,82.7,81.1,80.2,0
複勝,短距離-1400,MF複勝3位以内,1-10,人気1-6,12883,6662,82.6,81.1,80.4,0
複勝,短距離-1400,MF複勝3位以内,1-10,人気不問,12888,6664,82.6,81.1,80.4,0
複勝,芝,MF複勝3位以内,1-10,人気1-3,16051,8998,82.4,81.1,81.5,0
複勝,ダート,MF複勝2位以内,3-10,人気1-6,8166,3983,83.1,81.1,81.4,0
複勝,短距離-1400,MF複勝3位以内,1-20,人気1-6,14295,7046,82.6,81.1,81.0,0
複勝,堅いR(1人気=MF1位),MF複勝1位,3-10,人気1-6,1824,998,84.8,81.0,79.2,0
複勝,堅いR(1人気=MF1位),MF複勝5位以内,1-20,人気1-6,33460,15693,82.2,81.0,81.5,0
複勝,多頭数16+,MF複勝3位以内,1-10,人気1-3,12530,6642,82.4,81.0,80.6,0
複勝,少頭数-12,MF複勝3位以内,3-10,人気1-6,7381,3768,83.1,81.0,78.9,0
