race_id,年,券種,組み合わせ,確率,推定オッズ,期待値,払戻
202110040403,2021,馬単,15-04,0.058650822129326284,35.1288110118254,2.06033364626929,0.0
202110040803,2021,馬単,12-09,0.05919720163706716,45.773287119035,2.7096505071768835,0.0
202110010311,2021,馬連,05-13,0.09998381670818055,21.55661964200564,2.155313107134256,0.0
202110020111,2021,馬単,05-06,0.012172560047527915,224.76627523549448,2.735980981963243,0.0
202210010305,2022,馬単,01-04,0.03107260981368887,68.36061634318078,2.124142758254939,0.0
202204010701,2022,馬単,03-01,0.021304838550254925,114.49542293069544,2.439306500281622,0.0
202310030105,2023,馬単,03-02,0.0533810156438779,45.13960286729208,2.4095978468173542,0.0
202310030509,2023,馬連,09-18,0.0018464327110515985,2159.361809728435,3.9871162804781606,0.0
202410010709,2024,馬単,11-08,0.06114555962214025,34.67546815319422,2.1202509053867624,0.0
202110020307,2021,馬連,03-06,0.0026609116497937233,1031.529631549104,2.7448092136964375,0.0
202107020212,2021,ワイド,05-15,0.012402804198227944,184.72148921845954,2.291064461981628,0.0
202103010412,2021,ワイド,10-14,0.011682691344863374,285.4256594774045,3.3345398815785945,0.0
202106020202,2021,馬単,14-03,0.04893063513988631,42.11618525310926,2.0607716941037495,0.0
202104040107,2021,馬連,03-09,0.0065842830852319055,482.3792721651303,3.176121682383345,0.0
202409020401,2024,馬連,03-11,0.06041319587046165,33.327669747984274,2.0134310403910334,0.0
202510010802,2025,馬連,16-18,0.2915945025470981,8.446557302083809,2.4629696747366876,850.0
202505030106,2025,馬単,15-09,0.03434876611151444,103.7882219161184,3.564997359726708,0.0
202503030502,2025,馬連,03-04,0.0034210797164015367,725.2335421003476,2.481081760533539,0.0
202509010601,2025,馬単,16-11,0.04889082493629168,88.15095802187858,4.309773056614063,0.0
202509020701,2025,馬単,11-05,0.10622043424694362,19.371091977808955,2.0576058017203533,0.0
202510020103,2025,馬単,12-13,0.0009658756525547353,2188.507779205532,2.113826379361258,0.0
202510020302,2025,馬連,08-09,0.02354493443195163,205.1527475958015,4.830307990677869,0.0
202406050805,2024,馬連,13-15,0.02642215713319359,100.36936407617732,2.651975108979473,0.0
202508030109,2025,馬単,04-05,0.08577463660824443,24.88655879520222,2.1346355370881795,0.0
202104050302,2021,ワイド,02-08,0.018632998433892288,144.4809466593623,2.692113252831173,0.0
202306050308,2023,馬連,03-05,0.005635192507752174,451.75748167013836,2.545740376028554,0.0
202504010711,2025,馬連,06-09,0.014743575193333903,231.77747355088744,3.4172286094184687,0.0
202503030110,2025,馬単,10-15,0.0570262210246782,65.17563134316772,3.7167199583984267,0.0
202105010604,2021,馬単,12-03,0.039118012028865216,88.17208214911975,3.449116570119358,0.0
202106020606,2021,馬連,07-12,0.00028866881355310955,7004.551767876968,2.0219956483043804,0.0
202406050706,2024,馬単,01-02,0.3399451979654307,8.248101319890285,2.803902436029033,0.0
202506010301,2025,馬単,06-05,0.0033930452402569284,633.0323437510242,2.1479073808931006,0.0
202508010803,2025,馬連,04-09,0.08132447485326778,27.064824704566284,2.2010326560946014,0.0
202204020303,2022,馬単,12-04,0.2040531134653025,17.95405553209849,3.663580930653635,0.0
202403020701,2024,馬連,02-06,0.0012396640849405881,2629.5818634024777,3.259798194471199,0.0
202508040506,2025,馬連,09-12,0.0017834224667744637,1177.1568967078038,2.099368056507204,0.0
202110010305,2021,馬連,03-12,0.1223263473535127,39.08887563964199,4.781599379153107,4950.0
202110020305,2021,ワイド,06-09,0.06069903181559561,37.996660445078085,2.306360501242178,0.0
202107040201,2021,馬単,10-01,0.009601155006804904,256.3049290824703,2.460823353128936,0.0
202103010504,2021,馬単,06-01,0.00970365166477156,325.74820690569123,3.160947130236761,0.0
202104050504,2021,馬単,07-10,0.08418847465445264,27.06585777863101,2.2786332815972967,0.0
202103020105,2021,馬単,09-01,0.07236950320587647,31.150039165191522,2.2543128592285053,0.0
202305020107,2023,馬単,01-02,0.10812408311751354,19.395536800064498,2.097124633078966,0.0
202302020509,2023,馬単,08-14,0.009521016057848934,373.19087211714054,3.5531562860699433,0.0
202306040406,2023,馬単,06-10,0.12682011714796473,61.08459003894117,7.746754864673919,0.0
202406030310,2024,馬単,15-07,0.0823707584296545,26.194341890708788,2.1576478081033525,0.0
202406040710,2024,馬連,10-12,0.035362648512098666,57.13026959027622,2.020277642922377,0.0
202406050610,2024,馬連,02-15,0.18238681034210202,12.50687973960072,2.2810899030380347,0.0
202403010201,2024,馬単,06-14,0.11105799072285026,22.887802999514868,2.5418734131865466,0.0
202401010304,2024,馬連,04-11,0.32016180453124005,7.760438891782683,2.4845961195475605,0.0
202401020602,2024,馬連,11-12,0.0005651594214867619,5381.321942077948,3.041304795618791,0.0
202504010704,2025,馬連,01-09,0.0004444141508832045,5504.118567188275,2.4461081793974575,0.0
202507030201,2025,馬連,07-12,0.043190300865386465,79.15310863145997,3.4186465762233746,0.0
202107010110,2021,馬連,01-05,0.00027654101482875763,14132.933723249049,3.908335834334864,0.0
202205010710,2022,馬連,03-14,0.0015787457690597945,5176.69747841562,8.172689241751167,0.0
202205020309,2022,馬単,07-14,0.11868860734111102,18.866612634694917,2.239251978856149,0.0
202306010104,2023,馬単,01-15,0.005370785044618671,939.7565966583594,5.0472306749144575,0.0
202404010308,2024,馬単,10-01,0.02073886554342308,115.62871431594255,2.398008359157212,0.0
202404020212,2024,馬連,03-07,0.05948882538756316,38.01752857760685,2.2616181192199463,0.0
202403030410,2024,馬連,01-14,0.025064102166451843,112.96526569699093,2.8313729606897584,0.0
202406050110,2024,馬連,04-10,0.013470294037554426,351.74382829682344,4.738092793053268,0.0
202503010311,2025,馬連,04-10,0.08320964076000636,36.76913928028189,3.059546870566895,2780.0
202503020508,2025,馬単,15-07,0.041301087550746136,59.148419375223185,2.4428940471043417,0.0
202503030210,2025,馬連,02-12,0.0652338602639774,91.93968539800403,5.997580589967439,0.0
202506050110,2025,馬単,03-12,0.018057254593020787,136.46192559010373,2.4641277326343616,0.0
202505050803,2025,馬単,09-10,0.010196994743227444,332.3873935396169,3.389352504638545,0.0
202310030406,2023,馬単,11-07,0.08918746722784918,29.029652602163946,2.5890811900913433,0.0
202506020110,2025,馬単,13-06,0.0050262675962598775,440.23039447201796,2.212715766623407,0.0
202509030302,2025,馬単,16-12,0.0009580712779137275,2186.603141241155,2.094921665819084,0.0
202109010204,2021,馬連,03-09,0.03978663642892817,73.16773134774883,2.9110979254623732,0.0
202104030304,2021,馬連,04-15,0.03237478458639021,93.03398136436302,3.0119551058854936,0.0
202310010603,2023,馬連,06-09,0.006230377400830461,335.8026927722623,2.0921775081863174,0.0
202310020603,2023,馬単,07-11,0.12221250353729385,33.101732273206984,4.045445572529863,0.0
202304010703,2023,馬単,12-15,0.006424249336669159,420.61341511768586,2.702125453063943,0.0
