競馬場cd,_track,_距離帯,_脚質bin,日付,コース脚質バイアス
9,0,4.0,3.0,2022-04-09,0.27192336035372144
9,0,4.0,4.0,2022-04-09,0.2092522861753631
9,1,6.0,3.0,2022-04-09,0.29523809523809524
9,1,6.0,4.0,2022-04-09,0.2887323943661972
9,1,5.0,2.0,2022-04-09,0.31496062992125984
9,1,5.0,3.0,2022-04-09,0.29338842975206614
9,1,5.0,4.0,2022-04-09,0.24926686217008798
9,1,4.0,2.0,2022-04-09,0.30144404332129965
9,1,4.0,3.0,2022-04-09,0.2773892773892774
9,1,4.0,4.0,2022-04-09,0.22773186409550045
9,0,3.0,2.0,2022-04-09,0.25210084033613445
9,0,3.0,3.0,2022-04-09,0.22004357298474944
9,0,3.0,4.0,2022-04-09,0.1841620626151013
6,1,5.0,4.0,2022-04-10,0.2787878787878788
6,0,3.0,2.0,2022-04-10,0.24175824175824176
6,1,4.0,2.0,2022-04-10,0.3165829145728643
6,1,4.0,3.0,2022-04-10,0.3516483516483517
6,1,4.0,4.0,2022-04-10,0.24069478908188585
6,0,3.0,3.0,2022-04-10,0.2518518518518518
6,1,5.0,3.0,2022-04-10,0.24
6,0,4.0,1.0,2022-04-10,0.23404255319148937
6,0,4.0,2.0,2022-04-10,0.22556390977443608
6,0,4.0,3.0,2022-04-10,0.2793522267206478
6,0,4.0,4.0,2022-04-10,0.23273657289002558
6,1,3.0,2.0,2022-04-10,0.2619047619047619
6,1,3.0,3.0,2022-04-10,0.3130434782608696
6,1,3.0,4.0,2022-04-10,0.20496894409937888
6,0,3.0,4.0,2022-04-10,0.209366391184573
9,0,3.0,2.0,2022-04-10,0.25069637883008355
9,0,3.0,3.0,2022-04-10,0.22462203023758098
9,0,3.0,4.0,2022-04-10,0.18281535648994515
9,0,4.0,1.0,2022-04-10,0.23676880222841226
9,0,5.0,2.0,2022-04-10,0.16666666666666666
9,0,5.0,3.0,2022-04-10,0.24060150375939848
9,0,5.0,4.0,2022-04-10,0.30603448275862066
9,1,5.0,1.0,2022-04-10,0.3442622950819672
9,1,5.0,2.0,2022-04-10,0.32558139534883723
9,1,5.0,4.0,2022-04-10,0.2463768115942029
9,1,6.0,2.0,2022-04-10,0.3218390804597701
9,1,6.0,3.0,2022-04-10,0.2938388625592417
9,1,6.0,4.0,2022-04-10,0.2937062937062937
9,1,4.0,2.0,2022-04-10,0.30357142857142855
9,1,4.0,3.0,2022-04-10,0.2774566473988439
9,1,4.0,4.0,2022-04-10,0.2257479601087942
9,0,4.0,2.0,2022-04-10,0.30414746543778803
9,0,4.0,3.0,2022-04-10,0.27060539752005836
9,0,4.0,4.0,2022-04-10,0.20831113478955782
3,1,3.0,1.0,2022-04-16,0.3448275862068966
3,1,3.0,2.0,2022-04-16,0.23008849557522124
3,1,3.0,3.0,2022-04-16,0.296551724137931
3,1,3.0,4.0,2022-04-16,0.21243523316062177
3,1,4.0,2.0,2022-04-16,0.1875
3,1,5.0,2.0,2022-04-16,0.3076923076923077
3,1,5.0,3.0,2022-04-16,0.24444444444444444
3,1,5.0,4.0,2022-04-16,0.24242424242424243
3,1,4.0,3.0,2022-04-16,0.23529411764705882
3,1,4.0,4.0,2022-04-16,0.27884615384615385
3,1,6.0,3.0,2022-04-16,0.3333333333333333
3,1,6.0,4.0,2022-04-16,0.13636363636363635
3,0,3.0,1.0,2022-04-16,0.2857142857142857
3,0,3.0,2.0,2022-04-16,0.24731182795698925
3,0,3.0,3.0,2022-04-16,0.2897196261682243
3,0,3.0,4.0,2022-04-16,0.20863309352517986
3,0,4.0,1.0,2022-04-16,0.3684210526315789
3,0,4.0,2.0,2022-04-16,0.3203125
3,0,4.0,3.0,2022-04-16,0.25
3,0,4.0,4.0,2022-04-16,0.20408163265306123
6,0,4.0,3.0,2022-04-16,0.2782258064516129
6,1,4.0,4.0,2022-04-16,0.2400990099009901
6,1,3.0,2.0,2022-04-16,0.26136363636363635
6,1,3.0,4.0,2022-04-16,0.2037037037037037
6,1,6.0,3.0,2022-04-16,0.34782608695652173
6,1,6.0,4.0,2022-04-16,0.21518987341772153
6,0,3.0,1.0,2022-04-16,0.17391304347826086
6,0,3.0,2.0,2022-04-16,0.25405405405405407
6,0,3.0,3.0,2022-04-16,0.2490842490842491
6,0,3.0,4.0,2022-04-16,0.20708446866485014
6,1,5.0,2.0,2022-04-16,0.23809523809523808
6,0,4.0,2.0,2022-04-16,0.22388059701492538
6,0,4.0,4.0,2022-04-16,0.23037974683544304
9,0,5.0,2.0,2022-04-16,0.16161616161616163
9,1,5.0,1.0,2022-04-16,0.3387096774193548
9,1,5.0,2.0,2022-04-16,0.33587786259541985
9,1,5.0,3.0,2022-04-16,0.2897959183673469
9,1,5.0,4.0,2022-04-16,0.24566473988439305
9,1,6.0,2.0,2022-04-16,0.32954545454545453
9,1,6.0,3.0,2022-04-16,0.29245283018867924
9,1,6.0,4.0,2022-04-16,0.29553264604810997
9,0,3.0,1.0,2022-04-16,0.2814070351758794
9,0,3.0,2.0,2022-04-16,0.25203252032520324
9,0,3.0,3.0,2022-04-16,0.226890756302521
9,0,3.0,4.0,2022-04-16,0.18264014466546113
9,1,4.0,1.0,2022-04-16,0.23868312757201646
9,0,4.0,1.0,2022-04-16,0.23770491803278687
9,0,4.0,2.0,2022-04-16,0.30275229357798167
9,0,4.0,3.0,2022-04-16,0.26995645863570394
9,0,4.0,4.0,2022-04-16,0.20910534674430917
9,1,4.0,2.0,2022-04-16,0.30319148936170215
9,1,4.0,3.0,2022-04-16,0.2763761467889908
9,1,4.0,4.0,2022-04-16,0.22571942446043167
9,0,5.0,3.0,2022-04-16,0.24822695035460993
9,0,5.0,4.0,2022-04-16,0.3
3,1,7.0,2.0,2022-04-17,0.30952380952380953
3,1,7.0,3.0,2022-04-17,0.38961038961038963
3,1,7.0,4.0,2022-04-17,0.3
