母父名,母父_産駒数,母父_勝率,母父_連対率,母父_複勝率,母父_芝勝率,母父_ダート勝率,母父_短距離勝率,母父_中距離勝率,母父_長距離勝率,母父_良馬場勝率,母父_重馬場勝率,母父_平均着順
コウユーヒカリママ,7,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,,0.16666666666666666,0.0,,0.2,0.0,7.428571428571429
コウヨウルビー,12,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2,0.0,0.1111111111111111,0.3333333333333333,,0.1111111111111111,0.0,7.0
ココシュニック,5,0.2,0.2,0.2,0.25,0.0,,0.2,,0.2,,8.6
ココモオレンジ,5,0.2,0.2,0.2,0.0,0.25,0.3333333333333333,0.0,,0.0,,7.2
ココロノアイ,5,0.0,0.0,0.2,0.0,,0.0,0.0,,0.0,0.0,10.4
コスモアクセス,10,0.1,0.2,0.4,0.0,0.125,0.0,0.2,,0.3333333333333333,0.0,7.4
コスモエンドレス,6,0.0,0.3333333333333333,0.5,0.0,,0.0,0.0,,0.0,0.0,6.5
コスモカラーズ,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0
コスモキララ,12,0.0,0.08333333333333333,0.16666666666666666,,0.0,,0.0,0.0,0.0,0.0,5.25
コスモクラッベ,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.818181818181818
コスモクリスタル,16,0.25,0.3125,0.3125,0.2857142857142857,0.0,0.0,0.26666666666666666,,0.36363636363636365,0.0,5.3125
コスモコルデス,10,0.1,0.1,0.2,0.0,0.14285714285714285,0.0,0.125,0.0,0.14285714285714285,,8.0
コスモスプラッシュ,7,0.0,0.2857142857142857,0.2857142857142857,0.0,,,0.0,0.0,0.0,,7.714285714285714
コスモチェーロ,12,0.25,0.25,0.25,0.25,,,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.0,7.833333333333333
コスモネモシン,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,11.6
コスモハート,11,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.0,0.14285714285714285,0.0,0.2,,0.0,0.5,7.090909090909091
コスモバルバラ,10,0.1,0.3,0.3,0.1,,,0.1,,0.16666666666666666,0.0,6.2
コスモプラチナ,7,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,,0.0,0.0,0.0,,5.714285714285714
コスモポリタン,7,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,,0.0,0.0,6.142857142857143
コスモマイルール,5,0.0,0.0,0.2,0.0,,,0.0,0.0,0.0,0.0,8.0
コスモマクスウェル,11,0.0,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,,0.0,0.0,7.454545454545454
コスモミザール,5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,9.8
コスモミール,6,0.0,0.16666666666666666,0.3333333333333333,0.0,,,0.0,,0.0,,4.666666666666667
コスモメリー,5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,,0.0,,9.4
コスモライセンス,9,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5.444444444444445
コスモルーシー,15,0.13333333333333333,0.26666666666666666,0.3333333333333333,0.14285714285714285,0.0,0.0,0.2,0.0,0.18181818181818182,0.0,5.066666666666666
コスモヴァレンチ,7,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.0,0.2,,0.2,0.0,0.2,,5.571428571428571
コズミックショア,6,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,,0.0,0.0,4.833333333333333
コズミックフレイム,10,0.1,0.2,0.2,0.2,0.0,0.14285714285714285,0.0,,0.14285714285714285,0.0,7.7
コチョウサン,5,0.0,0.2,0.2,0.0,0.0,0.0,0.0,,0.0,,8.4
コックニー,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,13.0
コテキタイ,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.42857142857142855,0.0,,0.2857142857142857,1.0,6.333333333333333
コパノオーシャンズ,8,0.125,0.125,0.25,0.16666666666666666,0.0,,0.125,,0.16666666666666666,0.0,7.25
コフィーチャン,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.11111111111111
コペノイコロ,17,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.0,0.09090909090909091,0.0,0.0,0.5,0.08333333333333333,0.0,8.117647058823529
コマノスクアーロ,7,0.0,0.2857142857142857,0.42857142857142855,0.0,0.0,0.0,0.0,,0.0,0.0,6.142857142857143
コマノリリー,8,0.125,0.125,0.25,0.3333333333333333,0.0,0.0,0.25,,0.14285714285714285,,6.375
コマーサント,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,8.875
コリンシアン,5,0.0,0.4,0.4,0.0,0.0,0.0,0.0,,0.0,,7.8
コリンズグラス,5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,,0.0,,9.6
コリンナ,5,0.0,0.4,0.4,,0.0,0.0,,,0.0,0.0,5.8
コルチカ,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,10.6
コンカラン,7,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,7.857142857142857
コンテスティッド,18,0.16666666666666666,0.2777777777777778,0.2777777777777778,0.1875,0.0,,0.17647058823529413,0.0,0.15384615384615385,0.3333333333333333,5.666666666666667
コンドコマンド,12,0.08333333333333333,0.25,0.3333333333333333,0.1,0.0,,0.09090909090909091,0.0,0.125,,6.583333333333333
コンドルウイング,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.083333333333334
コンフォータブル,15,0.06666666666666667,0.13333333333333333,0.2,0.0,0.08333333333333333,0.09090909090909091,0.0,,0.125,0.0,7.4
コンプリカーター,5,0.4,0.6,0.6,,0.4,0.0,0.5,,0.3333333333333333,1.0,4.4
コンヴィクションII,6,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,6.833333333333333
コヴェンティナ,6,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,11.5
コージーロージー,9,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.0,0.4,,0.3333333333333333,0.0,0.2857142857142857,0.0,4.888888888888889
コーテサン,6,0.0,0.3333333333333333,0.5,,0.0,0.0,0.0,,0.0,0.0,5.333333333333333
コーディーライン,13,0.15384615384615385,0.23076923076923078,0.3076923076923077,0.14285714285714285,0.16666666666666666,0.25,0.0,,0.2222222222222222,0.0,7.0
コードネーム,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23076923076923
