母父名,母父_産駒数,母父_勝率,母父_連対率,母父_複勝率,母父_芝勝率,母父_ダート勝率,母父_短距離勝率,母父_中距離勝率,母父_長距離勝率,母父_良馬場勝率,母父_重馬場勝率,母父_平均着順
トキノミスフレンチ,6,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,11.5
トクラットリバー,20,0.15,0.3,0.4,0.2,0.0,0.0,0.16666666666666666,,0.1111111111111111,0.0,7.05
トコワカ,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,11.5
トシキャンディ,59,0.1016949152542373,0.22033898305084745,0.3898305084745763,0.05,0.1282051282051282,0.1282051282051282,0.05263157894736842,0.0,0.08333333333333333,0.0,6.169491525423729
トシザキミ,6,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,14.166666666666666
トシザコジーン,52,0.15384615384615385,0.23076923076923078,0.2692307692307692,0.18421052631578946,0.07142857142857142,0.14285714285714285,0.3333333333333333,,0.17142857142857143,0.0,8.596153846153847
トシザサンサン,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.866666666666667
トシザダンサー,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25
トシザマキ,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,11.0
トシザユカ,10,0.1,0.1,0.1,0.0,0.14285714285714285,0.0,0.16666666666666666,0.0,0.0,0.25,11.9
トスカーナ,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.428571428571429
トップアクトレス,36,0.1111111111111111,0.2777777777777778,0.3333333333333333,0.0,0.13793103448275862,0.14285714285714285,0.09090909090909091,0.0,0.09523809523809523,0.0,8.38888888888889
トップオブザヒル,16,0.0,0.0625,0.125,0.0,0.0,0.0,0.0,,0.0,0.0,9.6875
トップオブザヘヴン,37,0.10810810810810811,0.21621621621621623,0.2702702702702703,0.12121212121212122,0.0,0.14285714285714285,0.07407407407407407,0.3333333333333333,0.1111111111111111,0.25,6.756756756756757
トップオブドーラ,50,0.08,0.18,0.26,0.09302325581395349,0.0,0.07407407407407407,0.08695652173913043,,0.02702702702702703,0.16666666666666666,7.68
トップキララ,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,14.375
トップコマチ,47,0.06382978723404255,0.1276595744680851,0.2553191489361702,0.07142857142857142,0.06060606060606061,0.027777777777777776,0.1,1.0,0.10714285714285714,0.0,7.23404255319149
トップサンキスト,22,0.0,0.09090909090909091,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.818181818181818
